[2021-09-14 10:31:37,896] - [root] - [INFO] - Successfully Get Status. #TIOJ1719 #sa072686 #AC. (TIOJ_Crawler.py:43)
[2021-09-14 10:31:39,602] - [root] - [INFO] - Worker 0 Done. (Master.py:73)
[2021-09-14 10:31:39,602] - [root] - [INFO] - Worker 1 Done. (Master.py:73)
[2021-09-14 10:31:39,622] - [root] - [INFO] - Worker 2 Done. (Master.py:73)
[2021-09-14 10:31:39,622] - [root] - [INFO] - Worker 3 Done. (Master.py:73)
[2021-09-14 10:31:39,622] - [root] - [INFO] - Worker 4 Done. (Master.py:73)
[2021-09-14 10:31:39,623] - [root] - [INFO] - Worker 5 Done. (Master.py:73)
[2021-09-14 10:31:39,623] - [root] - [INFO] - Worker 6 Done. (Master.py:73)
[2021-09-14 10:31:39,623] - [root] - [INFO] - Worker 7 Done. (Master.py:73)
[2021-09-14 10:31:39,623] - [root] - [INFO] - Worker 8 Done. (Master.py:73)
[2021-09-14 10:31:39,623] - [root] - [INFO] - Worker 9 Done. (Master.py:73)
[2021-09-14 10:31:39,623] - [root] - [INFO] - All Workers Done. (Master.py:75)
[2021-09-14 10:33:11,603] - [root] - [INFO] - Start Worker 0 (Master.py:68)
[2021-09-14 10:33:11,603] - [root] - [INFO] - #UserID: 1002251 #ProblemNum: 1595. (UVa_Crawler.py:21)
[2021-09-14 10:33:11,603] - [root] - [INFO] - Start Worker 1 (Master.py:68)
[2021-09-14 10:33:11,604] - [root] - [INFO] - Fetching ProblemID ... (UVa_Crawler.py:26)
[2021-09-14 10:33:11,604] - [root] - [INFO] - #UserID: 1002251 #ProblemNum: 1585. (UVa_Crawler.py:21)
[2021-09-14 10:33:11,604] - [root] - [INFO] - Start Worker 2 (Master.py:68)
[2021-09-14 10:33:11,604] - [root] - [INFO] - Fetching ProblemID ... (UVa_Crawler.py:26)
[2021-09-14 10:33:11,605] - [root] - [INFO] - #UserID: 1002251 #ProblemNum: 1586. (UVa_Crawler.py:21)
[2021-09-14 10:33:11,605] - [root] - [INFO] - Start Worker 3 (Master.py:68)
[2021-09-14 10:33:11,605] - [root] - [INFO] - Fetching ProblemID ... (UVa_Crawler.py:26)
[2021-09-14 10:33:11,606] - [root] - [INFO] - #UserID: sa072686 #ProblemID: 1719 (TIOJ_Crawler.py:15)
[2021-09-14 10:33:11,606] - [root] - [INFO] - Start Worker 4 (Master.py:68)
[2021-09-14 10:33:11,608] - [root] - [INFO] - Start Worker 5 (Master.py:68)
[2021-09-14 10:33:11,608] - [root] - [INFO] - Start Worker 6 (Master.py:68)
[2021-09-14 10:33:11,609] - [root] - [INFO] - Start Worker 7 (Master.py:68)
[2021-09-14 10:33:11,609] - [root] - [INFO] - Start Worker 8 (Master.py:68)
[2021-09-14 10:33:11,609] - [root] - [INFO] - Start Worker 9 (Master.py:68)
[2021-09-14 10:33:11,741] - [root] - [INFO] - Successfully Get Submissions. (TIOJ_Crawler.py:25)
[2021-09-14 10:33:11,741] - [root] - [INFO] - Successfully Get Status. #TIOJ1719 #sa072686 #AC. (TIOJ_Crawler.py:43)
[2021-09-14 10:33:12,718] - [root] - [INFO] - Worker 0 Done. (Master.py:73)
[2021-09-14 10:33:12,768] - [root] - [INFO] - Worker 1 Done. (Master.py:73)
[2021-09-14 10:33:12,768] - [root] - [INFO] - Worker 2 Done. (Master.py:73)
[2021-09-14 10:33:12,768] - [root] - [INFO] - Worker 3 Done. (Master.py:73)
[2021-09-14 10:33:12,768] - [root] - [INFO] - Worker 4 Done. (Master.py:73)
[2021-09-14 10:33:12,768] - [root] - [INFO] - Worker 5 Done. (Master.py:73)
[2021-09-14 10:33:12,768] - [root] - [INFO] - Worker 6 Done. (Master.py:73)
[2021-09-14 10:33:12,768] - [root] - [INFO] - Worker 7 Done. (Master.py:73)
[2021-09-14 10:33:12,768] - [root] - [INFO] - Worker 8 Done. (Master.py:73)
[2021-09-14 10:33:12,769] - [root] - [INFO] - Worker 9 Done. (Master.py:73)
[2021-09-14 10:33:12,769] - [root] - [INFO] - All Workers Done. (Master.py:75)
[2021-09-14 10:35:26,607] - [root] - [INFO] - Start Worker 0 (Master.py:68)
[2021-09-14 10:35:26,607] - [root] - [INFO] - #UserID: 1002251 #ProblemNum: 1595. (UVa_Crawler.py:21)
